# The Kid Computer dictionary
#
# Format: word <TAB> part of speech <TAB> definition
# One line per sense, sorted by word. Edit or delete lines freely; the lookup
# script reads this file directly and nothing needs rebuilding.
#
# Rebuild from source with tools/build-dictionary.py
#
# Definitions come from Simple English Wiktionary
# (https://simple.wiktionary.org), used under CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Text has been
# filtered and truncated; see tools/build-dictionary.py for exactly how.
# Derived text remains under CC BY-SA 4.0.
a-	prefix	a- is a prefix that means "not". When put in front of a word, the meaning of that word reverses.
counterweights	noun	The plural form of counterweight; more than one (kind of) counterweight.
counterweights	verb	The third-person singular form of counterweight.
countess	noun	A countess is the wife of a count or earl.
countess	noun	A countess is a woman holding the rank of count or earl in her own right; a female holder of an earldom.
countesses	noun	The plural form of countess; more than one (kind of) countess.
counties	noun	The plural form of county; more than one (kind of) county.
counting	verb	The present participle of count.
counting	prep	Including; with this/these included
countless	adj	If you do something countless times, you do it too many times to count.
countries	noun	The plural form of country; more than one (kind of) country.
country	noun	A land that is controlled by a government.
country	noun	Places outside or far from cities; the type of place where farms are. The countryside.
country	noun	A certain place, in general.
countryball	noun	A countryball is a country drawn in the Polandball artstyle, in which countries are personified as crudely drawn blobs.
countryballs	noun	The plural form of countryball; more than one (kind of) countryball.
countryman	noun	Your countrymen are people who come from the same country (nation) that you are from.
countrymen	noun	The plural form of countryman; more than one (kind of) countryman.
countryside	noun	The countryside is the area outside the cities.
countrysides	noun	The plural form of countryside; more than one (kind of) countryside.
counts	verb	The third-person singular form of count.
counts	noun	The plural form of count; more than one (kind of) count.
county	noun	A county is an area of land with a local government, often including a number of towns or cities. It is used differently in different countries.
coup	noun	A coup is a successful act of achieving something difficult.
coup	noun	A coup is a sudden overthrow of a government.
coupe	noun	A coupe is a glass that is used to serve desserts or alcohol.
coupe	noun	A coupe is a car with two doors (variant of coupé).
coupes	noun	The plural form of coupe; more than one (kind of) coupe.
couple	noun	A couple is two (2) things that go together.
couple	noun	A couple is two people that love one another.
couple	verb	If you couple two things, you join them together.
coupled	verb	The past tense and past participle of couple.
coupled	prep	Coupled with is used to add a second part to a point.
couples	noun	The plural form of couple; more than one (kind of) couple.
couples	verb	The third-person singular form of couple.
coupling	noun	A coupling is a device that connects two things together
coupling	verb	The present participle of couple.
couplings	noun	The plural form of coupling; more than one (kind of) coupling.
coupon	noun	A coupon is a ticket that gives the holder some abilities or benefits.
coupons	noun	The plural form of coupon; more than one (kind of) coupon.
coups	noun	The plural form of coup; more than one (kind of) coup.
courage	noun	Courage is the quality of not being afraid easily.
courageous	adj	To be courageous is having courage (not being afraid).
courier	noun	A courier is a person or company that transports goods or documents.
courier	verb	If you courier something, you deliver by courier.
couriered	verb	The past tense and past participle of courier.
couriering	verb	The present participle of courier.
couriers	noun	The plural form of courier; more than one (kind of) courier.
couriers	verb	The third-person singular form of courier.
course	noun	In school, a course is a class in a specific subject.
course	noun	A course is the path that something follows in space or in time.
course	noun	For a meal, a course is one part of a meal such as dessert.
coursed	verb	The past tense and past participle of course.
courses	noun	The plural form of course; more than one (kind of) course.
courses	verb	The third-person singular form of course.
coursing	verb	The present participle of course.
court	noun	A court is where people are tried for crimes.
court	noun	A court is an open space where certain games are played.
court	noun	A court is where a sovereign (a king or queen), prince, or nobleman live; a palace.
courted	verb	The past tense and past participle of court.
courteous	adj	A courteous person is someone who shows regard or thought for others.
courtesies	noun	The plural form of courtesy; more than one (kind of) courtesy.
courtesy	noun	Courtesy is beliefs and actions related to being polite and respectful.
courtesy	noun	A courtesy is something you do for someone to make things nicer for them, but for which you are not paid.
courtesy	noun	If you receive something courtesy of someone else, they have provided it for free.
courtier	noun	A courtier is a person who helps a king, queen, prince, or other nobleman in the court.
courtiers	noun	The plural form of courtier; more than one (kind of) courtier.
courting	verb	The present participle of court.
courts	noun	The plural form of court; more than one (kind of) court.
courts	verb	The third-person singular form of court.
courtship	noun	Courtship is the period leading up to mating or marriage. The term can be applied to humans and animals.
courtships	noun	The plural form of courtship; more than one (kind of) courtship.
courtyard	noun	A courtyard is a space inside a building that is open to the sky. It can be partially or completely surrounded by walls or buildings.
courtyards	noun	The plural form of courtyard; more than one (kind of) courtyard.
couscous	noun	Couscous is a North African food made from crushed wheat.
couscous	noun	Couscous is a dish with this food served with a spicy soup or curry.
couscouses	noun	The plural form of couscous; more than one (kind of) couscous.
cousin	noun	Your cousin is the son or daughter of your aunt or uncle.
cousins	noun	The plural form of cousin; more than one (kind of) cousin.
couture	noun	Couture is the production of custom-made clothing.
coutures	noun	The plural form of couture; more than one (kind of) couture.
coven	noun	A coven is a group of witches.
covens	noun	The plural form of coven; more than one (kind of) coven.
cover	verb	Something that is covering another thing is on top of (or over) the other thing in a way that stops people from seeing it.
cover	noun	A cover is something that usually covers something else.
coverage	noun	Coverage is the amount something or someone is covered.
coverage	noun	Coverage is the amount of space or time given to an event in newspapers or television.
coverage	noun	Coverage is the area a mobile phone (cellphone) network or radio network provides to.
covered	verb	The past tense and past participle of cover.
covering	verb	The present participle of cover.
covering	noun	: This short section needs someone to add to it.
coverings	noun	The plural form of covering; more than one (kind of) covering.
covers	verb	The third-person singular form of cover.
